,recording,shank,id,label,spike_prop,time_prop
0,es25nov11_3,1.0,17.0,1.0,0.9711191335740073,0.0651393870209752
1,es25nov11_3,1.0,35.0,1.0,0.9758229400940504,0.07670911753888478
2,es25nov11_3,1.0,34.0,1.0,0.9358403603414864,0.06803310667737615
3,es25nov11_3,1.0,27.0,-1.0,0.980249729859527,0.06523812699070691
4,es25nov11_3,1.0,2.0,-1.0,0.9643115505184471,0.06516331996519548
5,es25nov11_3,1.0,7.0,1.0,0.9725781074398742,0.06586400932850757
6,es25nov11_3,1.0,3.0,-1.0,0.9534794309880815,0.06528901464545765
7,es25nov11_3,1.0,33.0,0.0,0.8236653742916791,0.0652413199903868
8,es25nov11_3,1.0,12.0,0.0,0.9379482902418682,0.0653608112197307
9,es25nov11_3,1.0,11.0,-1.0,0.9577187807276303,0.06517846982103963
10,es25nov11_3,1.0,24.0,0.0,0.9362918595153825,0.06549163869717017
11,es25nov11_3,1.0,36.0,1.0,0.966998114177953,0.06517133282592225
12,es25nov11_3,1.0,16.0,-1.0,0.9640102827763496,0.06527608340201156
13,es25nov11_3,1.0,10.0,-1.0,0.9832285115303984,0.0653409392388566
14,es25nov11_3,1.0,25.0,-1.0,0.9587973273942093,0.06553343682615599
15,es25nov11_3,1.0,22.0,-1.0,0.955845459106874,0.0654027217046944
16,es25nov11_3,1.0,15.0,1.0,0.9699140401146131,0.06621517274873581
17,es25nov11_3,1.0,29.0,1.0,0.9273657289002557,0.06561141602384815
18,es25nov11_3,1.0,6.0,-1.0,0.9653409090909091,0.06667610789474421
19,es25nov11_3,1.0,9.0,1.0,0.9739808153477219,0.0694126932947195
20,es25nov11_3,1.0,28.0,0.0,0.779261099037566,0.06603994617382573
21,es25nov11_3,1.0,26.0,-1.0,0.9704918032786886,0.06669798310921189
22,es25nov11_3,1.0,21.0,-1.0,0.9623762376237623,0.06581751908635329
23,es25nov11_3,1.0,31.0,-1.0,0.972457627118644,0.0662462315451116
24,es25nov11_3,1.0,18.0,-1.0,0.9894109861019192,0.33686453640570835
