,restriction,modality,chunk_size,accs,pyr_accs,in_accs
0,complete,spatial,0.0,78.94736842105263,100.0,57.89473684210526
1,complete,spatial,500.0,81.57894736842105,89.47368421052632,73.6842105263158
2,complete,spatial,200.0,78.94736842105263,84.21052631578948,73.6842105263158
3,complete,morphological,0.0,97.36842105263158,100.0,94.73684210526316
4,complete,morphological,500.0,86.84210526315789,84.21052631578948,89.47368421052632
5,complete,morphological,200.0,92.10526315789474,89.47368421052632,94.73684210526316
6,complete,temporal,0.0,76.3157894736842,94.73684210526316,57.89473684210526
7,complete,temporal,500.0,76.3157894736842,94.73684210526316,57.89473684210526
8,complete,temporal,200.0,76.3157894736842,94.73684210526316,57.89473684210526
9,no_small_sample,spatial,0.0,83.33333333333333,100.0,76.47058823529412
10,no_small_sample,spatial,500.0,83.33333333333333,100.0,76.47058823529412
11,no_small_sample,spatial,200.0,83.33333333333333,100.0,76.47058823529412
12,no_small_sample,morphological,0.0,91.66666666666667,100.0,88.23529411764706
13,no_small_sample,morphological,500.0,91.66666666666667,100.0,88.23529411764706
14,no_small_sample,morphological,200.0,91.66666666666667,100.0,88.23529411764706
15,no_small_sample,temporal,0.0,79.16666666666667,100.0,70.58823529411765
16,no_small_sample,temporal,500.0,79.16666666666667,100.0,70.58823529411765
17,no_small_sample,temporal,200.0,79.16666666666667,100.0,70.58823529411765
