modality,chunk_size,seed,acc,auc,region
spatial,0.0,0,49.20634920634921,0.6734279918864097,ncx
spatial,100.0,0,60.317460317460316,0.6886409736308317,ncx
spatial,200.0,0,60.317460317460316,0.6703853955375252,ncx
spatial,400.0,0,61.904761904761905,0.6724137931034483,ncx
spatial,800.0,0,60.317460317460316,0.6612576064908722,ncx
spatial,1600.0,0,58.73015873015873,0.6703853955375253,ncx
temporal,0.0,0,60.317460317460316,0.7200811359026369,ncx
temporal,100.0,0,57.14285714285714,0.6612576064908722,ncx
temporal,200.0,0,66.66666666666667,0.7210953346855983,ncx
temporal,400.0,0,74.60317460317461,0.7403651115618659,ncx
temporal,800.0,0,68.25396825396825,0.7494929006085191,ncx
temporal,1600.0,0,69.84126984126982,0.7626774847870181,ncx
morphological,0.0,0,98.41269841269842,0.9974645030425964,ncx
morphological,100.0,0,98.41269841269842,0.9959432048681542,ncx
morphological,200.0,0,98.41269841269842,0.995943204868154,ncx
morphological,400.0,0,98.41269841269842,0.9989858012170386,ncx
morphological,800.0,0,98.41269841269842,0.9939148073022313,ncx
morphological,1600.0,0,98.41269841269842,0.9878296146044624,ncx
spatial,0.0,1,52.38095238095239,0.6693711967545638,ncx
spatial,100.0,1,63.492063492063494,0.7018255578093304,ncx
spatial,200.0,1,63.492063492063494,0.6551724137931034,ncx
spatial,400.0,1,55.555555555555564,0.6501014198782961,ncx
spatial,800.0,1,57.14285714285714,0.6541582150101419,ncx
spatial,1600.0,1,63.492063492063494,0.6845841784989857,ncx
temporal,0.0,1,65.07936507936508,0.7297160243407708,ncx
temporal,100.0,1,57.14285714285714,0.6582150101419878,ncx
temporal,200.0,1,66.66666666666667,0.7251521298174443,ncx
temporal,400.0,1,71.42857142857143,0.7322515212981744,ncx
temporal,800.0,1,69.84126984126982,0.7545638945233264,ncx
temporal,1600.0,1,68.25396825396825,0.7647058823529409,ncx
morphological,0.0,1,95.23809523809523,0.9878296146044624,ncx
morphological,100.0,1,98.41269841269842,0.9959432048681542,ncx
morphological,200.0,1,98.41269841269842,0.995943204868154,ncx
morphological,400.0,1,98.41269841269842,0.9929006085192698,ncx
morphological,800.0,1,98.41269841269842,0.9979716024340772,ncx
morphological,1600.0,1,98.41269841269842,0.995943204868154,ncx
spatial,0.0,2,50.79365079365079,0.6546653144016227,ncx
spatial,100.0,2,63.492063492063494,0.6835699797160244,ncx
spatial,200.0,2,60.317460317460316,0.6683569979716025,ncx
spatial,400.0,2,57.14285714285714,0.6643002028397565,ncx
spatial,800.0,2,61.904761904761905,0.6643002028397565,ncx
spatial,1600.0,2,61.904761904761905,0.6805273833671399,ncx
temporal,0.0,2,65.07936507936508,0.7155172413793103,ncx
temporal,100.0,2,55.555555555555564,0.6480730223123732,ncx
temporal,200.0,2,66.66666666666667,0.7241379310344828,ncx
temporal,400.0,2,71.42857142857143,0.7464503042596349,ncx
temporal,800.0,2,69.84126984126982,0.7626774847870181,ncx
temporal,1600.0,2,68.25396825396825,0.7555780933062879,ncx
morphological,0.0,2,96.82539682539681,0.9959432048681542,ncx
morphological,100.0,2,98.41269841269842,0.9949290060851926,ncx
morphological,200.0,2,98.41269841269842,0.9949290060851926,ncx
morphological,400.0,2,98.41269841269842,0.9969574036511156,ncx
morphological,800.0,2,98.41269841269842,0.9979716024340772,ncx
morphological,1600.0,2,98.41269841269842,0.9939148073022313,ncx
spatial,0.0,3,52.38095238095239,0.6501014198782962,ncx
spatial,100.0,3,61.904761904761905,0.6876267748478703,ncx
spatial,200.0,3,58.73015873015873,0.6683569979716024,ncx
spatial,400.0,3,58.73015873015873,0.6774847870182555,ncx
spatial,800.0,3,58.73015873015873,0.6724137931034482,ncx
spatial,1600.0,3,60.317460317460316,0.6845841784989858,ncx
temporal,0.0,3,58.73015873015873,0.7099391480730223,ncx
temporal,100.0,3,57.14285714285714,0.6653144016227182,ncx
temporal,200.0,3,66.66666666666667,0.731237322515213,ncx
temporal,400.0,3,73.01587301587301,0.7413793103448275,ncx
temporal,800.0,3,68.25396825396825,0.7657200811359025,ncx
temporal,1600.0,3,69.84126984126982,0.7677484787018254,ncx
morphological,0.0,3,98.41269841269842,0.988843813387424,ncx
morphological,100.0,3,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,3,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,3,98.41269841269842,0.9959432048681542,ncx
morphological,800.0,3,98.41269841269842,0.9959432048681542,ncx
morphological,1600.0,3,98.41269841269842,0.9969574036511156,ncx
spatial,0.0,4,53.96825396825397,0.6531440162271804,ncx
spatial,100.0,4,63.492063492063494,0.7038539553752535,ncx
spatial,200.0,4,58.73015873015873,0.6440162271805273,ncx
spatial,400.0,4,58.73015873015873,0.6369168356997971,ncx
spatial,800.0,4,57.14285714285714,0.6713995943204868,ncx
spatial,1600.0,4,58.73015873015873,0.6602434077079107,ncx
temporal,0.0,4,63.492063492063494,0.6997971602434078,ncx
temporal,100.0,4,55.555555555555564,0.6501014198782962,ncx
temporal,200.0,4,66.66666666666667,0.7241379310344828,ncx
temporal,400.0,4,73.01587301587301,0.7565922920892495,ncx
temporal,800.0,4,69.84126984126982,0.7525354969574035,ncx
temporal,1600.0,4,68.25396825396825,0.7565922920892494,ncx
morphological,0.0,4,98.41269841269842,0.9969574036511156,ncx
morphological,100.0,4,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,4,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,4,98.41269841269842,0.9949290060851927,ncx
morphological,800.0,4,98.41269841269842,0.9949290060851926,ncx
morphological,1600.0,4,98.41269841269842,0.9979716024340772,ncx
spatial,0.0,5,55.555555555555564,0.6784989858012171,ncx
spatial,100.0,5,60.317460317460316,0.6886409736308317,ncx
spatial,200.0,5,60.317460317460316,0.6460446247464503,ncx
spatial,400.0,5,60.317460317460316,0.6511156186612576,ncx
spatial,800.0,5,57.14285714285714,0.6561866125760649,ncx
spatial,1600.0,5,61.904761904761905,0.6703853955375253,ncx
temporal,0.0,5,60.317460317460316,0.7251521298174441,ncx
temporal,100.0,5,57.14285714285714,0.6632860040567952,ncx
temporal,200.0,5,66.66666666666667,0.7302231237322515,ncx
temporal,400.0,5,74.60317460317461,0.7505070993914806,ncx
temporal,800.0,5,66.66666666666667,0.7616632860040567,ncx
temporal,1600.0,5,68.25396825396825,0.7413793103448274,ncx
morphological,0.0,5,96.82539682539681,0.9979716024340772,ncx
morphological,100.0,5,98.41269841269842,0.9949290060851927,ncx
morphological,200.0,5,98.41269841269842,0.9949290060851927,ncx
morphological,400.0,5,98.41269841269842,0.995943204868154,ncx
